launchTime, launchX, launchY, landTime, landX, landY, FlightTime, Distance
325.306888, 2658.427990, -3381.467530, 325.701172, 2683.134756, -3407.962293, 0.394284, 36.227017
325.306888, 3069.388681, -3037.172584, 325.840474, 3093.711920, -3063.256065, 0.533586, 35.664660
325.306888, 2975.909202, -2747.382124, 325.818783, 2999.880823, -2773.088540, 0.511895, 35.149088
325.306888, 2534.583965, -2590.114382, 325.654045, 2556.033382, -2613.116065, 0.347157, 31.450834
337.402051, 2329.687775, -3318.872956, 337.880467, 2350.648056, -3341.350105, 0.478416, 30.733623
337.402051, 2639.929637, -3440.828331, 337.995500, 2684.135109, -3488.232896, 0.593449, 64.817563
337.402051, 2996.421061, -3349.488390, 337.847780, 3016.887547, -3371.436010, 0.445729, 30.009583
337.402051, 3023.499717, -3328.129597, 337.860855, 3047.098405, -3353.436092, 0.458804, 34.602266
337.402051, 3093.577080, -3039.691963, 338.915802, 3152.707118, -3103.101165, 1.513751, 86.701143
337.402051, 3109.853264, -2985.669225, 338.861506, 3190.364104, -3072.006530, 1.459456, 118.051368
349.901265, 2539.545327, -3423.086814, 350.800333, 2595.083021, -3482.643700, 0.899068, 81.433765
349.901265, 2953.998104, -3465.183679, 350.929934, 3010.830288, -3526.128735, 1.028669, 83.331849
349.901265, 2553.375538, -2552.670089, 350.547638, 2589.683791, -2591.605923, 0.646373, 53.238035
300.000000, 2353.170881, -4076.480401, 300.511895, 2377.204257, -4102.253042, 0.511895, 35.239640
300.000000, 2759.609580, -4160.665802, 300.462047, 2791.126406, -4194.463460, 0.462047, 46.212465
300.000000, 2465.731271, -3816.251269, 301.028669, 2497.159149, -3849.953542, 1.028669, 46.082043
304.592277, 2631.935274, -3841.760153, 304.996261, 2653.937005, -3865.354121, 0.403984, 32.260681
304.592277, 2397.171563, -3810.281842, 305.428145, 2440.953352, -3857.232063, 0.835868, 64.196326
317.182448, -464.945462, -3748.911953, 318.473570, -381.644666, -3838.241120, 1.291121, 122.142223
317.182448, 488.652530, -3989.586663, 317.657571, 519.838518, -4023.029542, 0.475122, 45.727366
317.182448, 2755.998199, -4130.711913, 317.549703, 2777.158244, -4153.403283, 0.367255, 31.026534
317.182448, 2745.298834, -4036.413940, 318.186379, 2789.256506, -4083.552772, 1.003930, 64.454220
317.182448, 2415.476618, -3812.020718, 317.686089, 2439.131513, -3837.387486, 0.503640, 34.684679
326.116769, -483.867395, -3844.732732, 326.697325, -447.432925, -3883.803917, 0.580556, 53.423104
326.116769, 2293.632121, -4043.436261, 326.608260, 2317.539194, -4069.073459, 0.491491, 35.054444
326.116769, 2339.693352, -4079.180132, 326.717996, 2382.803185, -4125.409767, 0.601227, 63.211050
337.751057, 2577.065963, -4360.581529, 338.050978, 2599.507963, -4384.647628, 0.299922, 32.906237
337.751057, 2668.262376, -4364.671842, 338.457370, 2716.891872, -4416.820591, 0.706314, 71.304417
337.751057, 2706.078600, -4325.008358, 338.342487, 2745.615507, -4367.406500, 0.591430, 57.972143
337.751057, 2749.908319, -4212.343476, 338.277412, 2774.117156, -4238.304275, 0.526356, 35.496913
337.751057, 2764.555535, -4188.094762, 338.123336, 2786.588786, -4211.722531, 0.372279, 32.306898
349.108223, 391.929553, -4052.951295, 349.583345, 423.951115, -4087.290217, 0.475122, 46.952550
349.108223, 2538.986773, -4392.485280, 349.441805, 2561.404872, -4416.525748, 0.333582, 32.871192
349.108223, 2690.949559, -4366.368148, 350.471142, 2773.624023, -4455.025656, 1.362919, 121.223845
349.108223, 2690.909362, -4341.684353, 350.621974, 2777.546993, -4434.591837, 1.513751, 127.034955
317.182448, -711.898757, -3521.564188, 317.877475, -660.754762, -3576.409408, 0.695027, 74.991376
317.182448, -721.777614, -3545.693055, 317.513623, -697.413686, -3571.820169, 0.331174, 35.724320
346.013061, -1813.124649, -1640.741205, 346.426103, -1789.573625, -1665.996586, 0.413042, 34.532376
346.013061, -2183.508261, -1555.467863, 346.314983, -2160.736582, -1579.887498, 0.301922, 33.389638
350.029258, -2017.661570, -2564.730321, 350.488073, -1984.239778, -2600.570805, 0.458815, 49.005677
353.356207, -1755.499243, -1672.623458, 354.013866, -1698.951125, -1733.263890, 0.657659, 82.915328
355.123197, -2185.638190, -1553.262396, 355.694074, -2143.170223, -1598.803715, 0.570877, 62.269896
303.267990, 5352.680636, -1615.460882, 303.681032, 5373.195167, -1637.460023, 0.413042, 30.080030
